,filepath,label,text,sentiment
26,data/MELD.Raw/train_audio/dia2_utt5.mp3,neutral,"Yeah, apparently theyre turning it into some kinda coffee place.",neutral
27,data/MELD.Raw/train_audio/dia2_utt6.mp3,disgust,Just coffee! Where are we gonna hang out now?,negative
28,data/MELD.Raw/train_audio/dia2_utt7.mp3,sadness,Got me.,negative
29,data/MELD.Raw/train_audio/dia2_utt8.mp3,neutral,Can I get a beer.,neutral
30,data/MELD.Raw/train_audio/dia2_utt9.mp3,neutral,"Hey, did you pick a roommate?",neutral
31,data/MELD.Raw/train_audio/dia2_utt10.mp3,joy,You betcha!,positive
32,data/MELD.Raw/train_audio/dia2_utt11.mp3,neutral,Is it the Italian guy?,neutral
33,data/MELD.Raw/train_audio/dia2_utt12.mp3,joy,"Um-mm, yeah right!",positive
34,data/MELD.Raw/train_audio/dia3_utt0.mp3,surprise,"Oh my God, oh my God! Poor Monica!",negative
35,data/MELD.Raw/train_audio/dia3_utt1.mp3,surprise,"What, what, what?!",negative
36,data/MELD.Raw/train_audio/dia3_utt2.mp3,surprise,What?!,negative
37,data/MELD.Raw/train_audio/dia3_utt3.mp3,neutral,He was with her when he wrote this poem.,neutral
38,data/MELD.Raw/train_audio/dia3_utt4.mp3,neutral,"Look,  'My vessel so empty with nothing inside.",neutral
39,data/MELD.Raw/train_audio/dia3_utt5.mp3,neutral,"Now that I've touched you, you seem emptier still.'",neutral
40,data/MELD.Raw/train_audio/dia3_utt6.mp3,surprise,"He thinks Monica is empty, she is the empty vase!",negative
41,data/MELD.Raw/train_audio/dia3_utt8.mp3,sadness,"Oh, totally. Oh, God, oh, she seemed so happy too.",negative
42,data/MELD.Raw/train_audio/dia3_utt9.mp3,neutral,Done.,neutral
43,data/MELD.Raw/train_audio/dia4_utt0.mp3,surprise,Hey!,positive
44,data/MELD.Raw/train_audio/dia4_utt1.mp3,joy,Hi!,positive
45,data/MELD.Raw/train_audio/dia4_utt2.mp3,surprise,What are you doing here?,positive
46,data/MELD.Raw/train_audio/dia4_utt3.mp3,neutral,"Ah y'know, this building is on my paper route so I...",neutral
47,data/MELD.Raw/train_audio/dia4_utt4.mp3,neutral,Oh.,neutral
48,data/MELD.Raw/train_audio/dia4_utt5.mp3,neutral,Hi.,neutral
49,data/MELD.Raw/train_audio/dia4_utt6.mp3,neutral,Hi.,neutral
50,data/MELD.Raw/train_audio/dia4_utt7.mp3,neutral,Howd did it go?,neutral
51,data/MELD.Raw/train_audio/dia4_utt8.mp3,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",positive
52,data/MELD.Raw/train_audio/dia4_utt9.mp3,joy,Im so proud of you.,positive
53,data/MELD.Raw/train_audio/dia4_utt10.mp3,joy,Me too!,positive
54,data/MELD.Raw/train_audio/dia4_utt11.mp3,sadness,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",negative
55,data/MELD.Raw/train_audio/dia4_utt12.mp3,neutral,I know.,neutral
56,data/MELD.Raw/train_audio/dia4_utt13.mp3,neutral,Yeah.,neutral
57,data/MELD.Raw/train_audio/dia4_utt14.mp3,neutral,Yeah.,neutral
58,data/MELD.Raw/train_audio/dia5_utt0.mp3,neutral,Ameri-can.,neutral
59,data/MELD.Raw/train_audio/dia5_utt1.mp3,neutral,Ameri-ccan.,neutral
60,data/MELD.Raw/train_audio/dia5_utt2.mp3,neutral,Ameri-can. Y'know its a,neutral
61,data/MELD.Raw/train_audio/dia5_utt3.mp3,surprise,Everybody!!,positive
62,data/MELD.Raw/train_audio/dia6_utt0.mp3,joy,Good job Joe! Well done! Top notch!,positive
63,data/MELD.Raw/train_audio/dia6_utt1.mp3,surprise,You liked it? You really liked it?,positive
64,data/MELD.Raw/train_audio/dia6_utt2.mp3,joy,"Oh-ho-ho, yeah!",positive
65,data/MELD.Raw/train_audio/dia6_utt3.mp3,neutral,Which part exactly?,neutral
66,data/MELD.Raw/train_audio/dia6_utt4.mp3,neutral,The whole thing! Can we go?,neutral
67,data/MELD.Raw/train_audio/dia6_utt5.mp3,anger,"Oh no-no-no, give me some specifics.",negative
68,data/MELD.Raw/train_audio/dia6_utt6.mp3,joy,"I love the specifics, the specifics were the best part!",positive
69,data/MELD.Raw/train_audio/dia6_utt7.mp3,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral
70,data/MELD.Raw/train_audio/dia6_utt8.mp3,surprise,I was surprised to see a kangaroo in a World War I epic.,negative
71,data/MELD.Raw/train_audio/dia6_utt9.mp3,anger,You fell asleep!!,negative
72,data/MELD.Raw/train_audio/dia6_utt10.mp3,anger,There was no kangaroo!,negative
73,data/MELD.Raw/train_audio/dia6_utt11.mp3,anger,They didnt take any of my suggestions!,negative
74,data/MELD.Raw/train_audio/dia6_utt12.mp3,neutral,Thats for coming buddy.,neutral
75,data/MELD.Raw/train_audio/dia6_utt13.mp3,neutral,Ill see you later.,neutral
76,data/MELD.Raw/train_audio/dia6_utt14.mp3,sadness,Dont go!,negative
77,data/MELD.Raw/train_audio/dia6_utt15.mp3,sadness,Im sorry.,negative
78,data/MELD.Raw/train_audio/dia6_utt16.mp3,sadness,Im so sorry!,negative
79,data/MELD.Raw/train_audio/dia6_utt17.mp3,surprise,Look!,negative
80,data/MELD.Raw/train_audio/dia6_utt18.mp3,anger,This guy fell asleep!,negative
81,data/MELD.Raw/train_audio/dia6_utt19.mp3,anger,He fell asleep too!,negative
82,data/MELD.Raw/train_audio/dia6_utt20.mp3,anger,Be mad at him!,negative
83,data/MELD.Raw/train_audio/dia6_utt21.mp3,anger,"Or, call an ambulance.",negative
84,data/MELD.Raw/train_audio/dia7_utt0.mp3,neutral,"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral
85,data/MELD.Raw/train_audio/dia7_utt1.mp3,anger,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",negative
86,data/MELD.Raw/train_audio/dia8_utt0.mp3,neutral,"Yes, and it is my dying wish to have that ring.",neutral
87,data/MELD.Raw/train_audio/dia8_utt1.mp3,neutral,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral
88,data/MELD.Raw/train_audio/dia8_utt2.mp3,neutral,"Okay, thats enough honey!",neutral
89,data/MELD.Raw/train_audio/dia8_utt3.mp3,neutral,I dont know.  Let me see the ring.,neutral
90,data/MELD.Raw/train_audio/dia8_utt4.mp3,joy,"Great! Okay, here.",positive
91,data/MELD.Raw/train_audio/dia8_utt5.mp3,neutral,All right.,neutral
92,data/MELD.Raw/train_audio/dia8_utt6.mp3,joy,Thank you. Thank you. Thank you!  And,positive
93,data/MELD.Raw/train_audio/dia9_utt0.mp3,neutral,What've you been up to?,neutral
94,data/MELD.Raw/train_audio/dia9_utt1.mp3,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral
95,data/MELD.Raw/train_audio/dia9_utt2.mp3,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral
96,data/MELD.Raw/train_audio/dia9_utt3.mp3,joy,Can you hold on a moment? I have another call.  I love her.,positive
97,data/MELD.Raw/train_audio/dia9_utt4.mp3,neutral,I know.,neutral
98,data/MELD.Raw/train_audio/dia9_utt5.mp3,neutral,I'm back.,neutral
99,data/MELD.Raw/train_audio/dia9_utt6.mp3,neutral,"So, are we gonna get together or what?",neutral
100,data/MELD.Raw/train_audio/dia9_utt7.mp3,neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral
101,data/MELD.Raw/train_audio/dia9_utt8.mp3,neutral,"Great, I'll see you then.",neutral
102,data/MELD.Raw/train_audio/dia9_utt9.mp3,joy,Ok.  Ok. Having a phone has finally paid off.,positive
103,data/MELD.Raw/train_audio/dia9_utt10.mp3,neutral,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral
104,data/MELD.Raw/train_audio/dia9_utt11.mp3,neutral,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",neutral
105,data/MELD.Raw/train_audio/dia9_utt12.mp3,disgust,Oh my god. You are pure evil.,negative
106,data/MELD.Raw/train_audio/dia9_utt13.mp3,anger,"Ok, pure evil , horny and alone . I've done this",negative
107,data/MELD.Raw/train_audio/dia10_utt0.mp3,anger,Nobody!,negative
108,data/MELD.Raw/train_audio/dia10_utt1.mp3,anger,Nobody respects the bucket!,negative
109,data/MELD.Raw/train_audio/dia10_utt2.mp3,anger,You wouldn't believe what people put in here!,negative
110,data/MELD.Raw/train_audio/dia10_utt3.mp3,anger,Look!,negative
111,data/MELD.Raw/train_audio/dia10_utt4.mp3,anger,"Okay, does this look like a garbage can to you?",negative
112,data/MELD.Raw/train_audio/dia10_utt5.mp3,neutral,No.,neutral
113,data/MELD.Raw/train_audio/dia11_utt0.mp3,neutral,This is my wedding.,neutral
114,data/MELD.Raw/train_audio/dia11_utt1.mp3,anger,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",negative
115,data/MELD.Raw/train_audio/dia11_utt2.mp3,neutral,Fine. Youll-youll watch it on video when we get back.,neutral
116,data/MELD.Raw/train_audio/dia11_utt3.mp3,joy,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,positive
117,data/MELD.Raw/train_audio/dia11_utt4.mp3,neutral,Thank you.,neutral
118,data/MELD.Raw/train_audio/dia11_utt5.mp3,neutral,Thank you.,neutral
119,data/MELD.Raw/train_audio/dia11_utt6.mp3,joy,"All right, lets go! Bye, Pheebs!",positive
120,data/MELD.Raw/train_audio/dia11_utt7.mp3,joy,"Bye, Pheebs!",positive
121,data/MELD.Raw/train_audio/dia11_utt8.mp3,joy,London baby!!,positive
122,data/MELD.Raw/train_audio/dia11_utt9.mp3,joy,"Oh, do you need a hug? You dont have to bring me anything!",positive
123,data/MELD.Raw/train_audio/dia12_utt0.mp3,neutral,Hey!,neutral
124,data/MELD.Raw/train_audio/dia12_utt1.mp3,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,positive
125,data/MELD.Raw/train_audio/dia12_utt2.mp3,disgust,"Thats great, but shouldnt you be on the toilet right now?",negative
126,data/MELD.Raw/train_audio/dia12_utt3.mp3,surprise,What?!,negative
127,data/MELD.Raw/train_audio/dia12_utt4.mp3,disgust,Whats wrong with you?,negative
128,data/MELD.Raw/train_audio/dia12_utt5.mp3,neutral,Nothing!,neutral
129,data/MELD.Raw/train_audio/dia12_utt6.mp3,fear,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",negative
130,data/MELD.Raw/train_audio/dia12_utt7.mp3,neutral,"But um, I dont think its anything serious.",neutral
131,data/MELD.Raw/train_audio/dia12_utt8.mp3,surprise,This sounds like a hernia. You have toyou-you go to the doctor!,negative
132,data/MELD.Raw/train_audio/dia12_utt9.mp3,fear,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",negative
133,data/MELD.Raw/train_audio/dia12_utt10.mp3,disgust,Thats a hernia.,negative
134,data/MELD.Raw/train_audio/dia12_utt11.mp3,anger,Why did I have to start working out again?  Damn you 15s!,negative
135,data/MELD.Raw/train_audio/dia13_utt0.mp3,joy,I love your place! Where is this guy from?,positive
136,data/MELD.Raw/train_audio/dia13_utt1.mp3,neutral,Uh thats an eighteenth century Indian artifact from Calcutta.,neutral
137,data/MELD.Raw/train_audio/dia13_utt2.mp3,surprise,"Oh wow! So, youre more than just dinosaurs.",positive
138,data/MELD.Raw/train_audio/dia13_utt3.mp3,neutral,So much more.,neutral
139,data/MELD.Raw/train_audio/dia14_utt0.mp3,neutral,"Well, well to sum up, were having fun, you look young.",neutral
140,data/MELD.Raw/train_audio/dia14_utt1.mp3,neutral,Okay,neutral
141,data/MELD.Raw/train_audio/dia14_utt2.mp3,neutral,But thats not enough. So Soheres a key to my apartment.,neutral
142,data/MELD.Raw/train_audio/dia14_utt3.mp3,surprise,Really?!,positive
143,data/MELD.Raw/train_audio/dia14_utt4.mp3,neutral,Really.,neutral
144,data/MELD.Raw/train_audio/dia14_utt5.mp3,neutral,You dont think this is too fast.,neutral
145,data/MELD.Raw/train_audio/dia15_utt0.mp3,anger,Get Out!,negative
146,data/MELD.Raw/train_audio/dia15_utt1.mp3,neutral,"Ross, can I talk to you for a minute?",neutral
147,data/MELD.Raw/train_audio/dia15_utt2.mp3,neutral,"Yes, please!  So, what's going on?",neutral
148,data/MELD.Raw/train_audio/dia15_utt3.mp3,sadness,"Uh, well... Joey and I broke up.",negative
149,data/MELD.Raw/train_audio/dia15_utt4.mp3,surprise,"Oh my God, wh-what happened?",negative
150,data/MELD.Raw/train_audio/dia15_utt5.mp3,sadness,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",negative
151,data/MELD.Raw/train_audio/dia15_utt6.mp3,anger,I knew that was him!,negative
152,data/MELD.Raw/train_audio/dia15_utt7.mp3,sadness,"Anyway I just, uh, I think it's for the best.",negative
153,data/MELD.Raw/train_audio/dia15_utt8.mp3,neutral,"Hey, you ok?",neutral
154,data/MELD.Raw/train_audio/dia15_utt9.mp3,sadness,I guess.,negative
155,data/MELD.Raw/train_audio/dia15_utt10.mp3,neutral,There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral
156,data/MELD.Raw/train_audio/dia15_utt11.mp3,neutral,I started to realize that I was having feelings for someone  else.,neutral
157,data/MELD.Raw/train_audio/dia15_utt12.mp3,neutral,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral
158,data/MELD.Raw/train_audio/dia15_utt13.mp3,neutral,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral
159,data/MELD.Raw/train_audio/dia15_utt14.mp3,neutral,"Yeah, can you guys just throw him in the pool later?",neutral
160,data/MELD.Raw/train_audio/dia15_utt15.mp3,joy,Or we could throw you both in,positive
161,data/MELD.Raw/train_audio/dia15_utt16.mp3,anger,"Ok, gentlemen!",negative
162,data/MELD.Raw/train_audio/dia15_utt17.mp3,anger,Please!,negative
163,data/MELD.Raw/train_audio/dia15_utt18.mp3,anger,Aren't we a little old for this?,negative
164,data/MELD.Raw/train_audio/dia15_utt19.mp3,neutral,"I mean, we're scientists, right?",neutral
165,data/MELD.Raw/train_audio/dia15_utt20.mp3,anger,We're academics.,negative
166,data/MELD.Raw/train_audio/dia15_utt21.mp3,joy,And most importantly I... you-you will have to catch us first.,positive
167,data/MELD.Raw/train_audio/dia15_utt22.mp3,joy,"GO, GO, GO!",positive
168,data/MELD.Raw/train_audio/dia16_utt0.mp3,joy,"Go, go, go!",positive
169,data/MELD.Raw/train_audio/dia16_utt1.mp3,joy,"Oh yeah, now everybody wants to be under this hat!",positive
170,data/MELD.Raw/train_audio/dia16_utt2.mp3,disgust,Oy!!,negative
171,data/MELD.Raw/train_audio/dia16_utt3.mp3,surprise,Whats with all this sand?,negative
172,data/MELD.Raw/train_audio/dia16_utt4.mp3,neutral,"Oh, yeah, Bob said there might be flood damage.",neutral
173,data/MELD.Raw/train_audio/dia16_utt5.mp3,neutral,"Yeah, either that, or he has a really big cat.",neutral
174,data/MELD.Raw/train_audio/dia17_utt0.mp3,anger,"Okay, see that blind guy right there? I'm gonna bash his head in later.",negative
175,data/MELD.Raw/train_audio/dia17_utt1.mp3,joy,"Oh umm, my big scene is coming up. Big scene coming up.",positive
176,data/MELD.Raw/train_audio/dia17_utt2.mp3,neutral,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral
177,data/MELD.Raw/train_audio/dia17_utt3.mp3,neutral,Rach? What are you doing?,neutral
178,data/MELD.Raw/train_audio/dia17_utt4.mp3,fear,"Oh boy, I just can't watch. It's too scary!",negative
179,data/MELD.Raw/train_audio/dia17_utt5.mp3,neutral,It's a diaper commercial.,neutral
180,data/MELD.Raw/train_audio/dia17_utt6.mp3,fear,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",negative
181,data/MELD.Raw/train_audio/dia17_utt7.mp3,joy,Pizza delivery!,positive
182,data/MELD.Raw/train_audio/dia17_utt8.mp3,joy,I'll get it! I will get that!,positive
183,data/MELD.Raw/train_audio/dia17_utt9.mp3,joy,Hi!,positive
184,data/MELD.Raw/train_audio/dia17_utt10.mp3,joy,Hi!,positive
185,data/MELD.Raw/train_audio/dia18_utt0.mp3,neutral,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",neutral
186,data/MELD.Raw/train_audio/dia18_utt1.mp3,neutral,"Uhh, the ball thing.",neutral
187,data/MELD.Raw/train_audio/dia18_utt2.mp3,neutral,Yeah?,neutral
188,data/MELD.Raw/train_audio/dia18_utt3.mp3,joy,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",positive
189,data/MELD.Raw/train_audio/dia18_utt4.mp3,neutral,"Uhh,",neutral
190,data/MELD.Raw/train_audio/dia18_utt5.mp3,joy,Okay!,positive
191,data/MELD.Raw/train_audio/dia18_utt6.mp3,fear,Uh-oh.,negative
192,data/MELD.Raw/train_audio/dia18_utt7.mp3,neutral,What?,neutral
193,data/MELD.Raw/train_audio/dia18_utt8.mp3,sadness,I have to pee. And Rachel's in the bathroom!,negative
194,data/MELD.Raw/train_audio/dia18_utt9.mp3,surprise,"Man, I didn't think we were gonna make it!",positive
195,data/MELD.Raw/train_audio/dia18_utt10.mp3,fear,"I know!  Don't switch hands, okay?",negative
196,data/MELD.Raw/train_audio/dia19_utt0.mp3,neutral,Hey.,neutral
197,data/MELD.Raw/train_audio/dia19_utt1.mp3,neutral,Hey!,neutral
198,data/MELD.Raw/train_audio/dia20_utt0.mp3,neutral,How did it go with Erin?,neutral
199,data/MELD.Raw/train_audio/dia20_utt1.mp3,joy,"Oh, unbelievable! We had the best time!",positive
200,data/MELD.Raw/train_audio/dia20_utt2.mp3,joy,"Yay!! Oh so, youre not, youre not mad at us anymore?",positive
201,data/MELD.Raw/train_audio/dia20_utt3.mp3,joy,No!,positive
202,data/MELD.Raw/train_audio/dia20_utt4.mp3,joy,No!,positive
203,data/MELD.Raw/train_audio/dia20_utt5.mp3,joy,No!,positive
204,data/MELD.Raw/train_audio/dia20_utt6.mp3,joy,You guys were totally right!,positive
205,data/MELD.Raw/train_audio/dia20_utt7.mp3,joy,This is so much better than the first time we went out.,positive
206,data/MELD.Raw/train_audio/dia20_utt8.mp3,neutral,Yknow?,neutral
207,data/MELD.Raw/train_audio/dia20_utt9.mp3,neutral,"That was so awkward, we were really nervous.",neutral
208,data/MELD.Raw/train_audio/dia20_utt10.mp3,neutral,Didnt you sleep together?,neutral
209,data/MELD.Raw/train_audio/dia20_utt11.mp3,neutral,"Yeah, that really calms me down.",neutral
210,data/MELD.Raw/train_audio/dia20_utt12.mp3,joy,And!,positive
211,data/MELD.Raw/train_audio/dia20_utt13.mp3,joy,We have so much in common!,positive
212,data/MELD.Raw/train_audio/dia20_utt14.mp3,joy,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",positive
213,data/MELD.Raw/train_audio/dia20_utt15.mp3,surprise,"Oh my God! Listen to you talkin about having kids. Oh my Joey.  Oh, please dont get married before I do.",positive
214,data/MELD.Raw/train_audio/dia20_utt16.mp3,neutral,Okay.,neutral
215,data/MELD.Raw/train_audio/dia21_utt0.mp3,surprise,How does she do that?,negative
216,data/MELD.Raw/train_audio/dia21_utt1.mp3,neutral,I cannot sleep in a public place.,neutral
217,data/MELD.Raw/train_audio/dia21_utt2.mp3,joy,Would you look at her? She is so peaceful.,positive
218,data/MELD.Raw/train_audio/dia21_utt3.mp3,surprise,Oh! What what what! ...Hi.,positive
219,data/MELD.Raw/train_audio/dia21_utt4.mp3,neutral,"It's okay, y'know, you just nodded off again.",neutral
220,data/MELD.Raw/train_audio/dia21_utt5.mp3,surprise,What's going on with you?,positive
221,data/MELD.Raw/train_audio/dia21_utt6.mp3,anger,I got no sleep last night!,negative
222,data/MELD.Raw/train_audio/dia21_utt7.mp3,neutral,Why?,neutral
223,data/MELD.Raw/train_audio/dia21_utt8.mp3,disgust,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",negative
224,data/MELD.Raw/train_audio/dia21_utt9.mp3,neutral,"Oh, and deaf.",neutral
225,data/MELD.Raw/train_audio/dia21_utt10.mp3,neutral,"So they're constantly, like, having to reassure each other that they're having a good time.",neutral
226,data/MELD.Raw/train_audio/dia21_utt11.mp3,disgust,You have no idea how loud they are!,negative
227,data/MELD.Raw/train_audio/dia21_utt12.mp3,neutral,"Well, if you want, you can stay with Rachel and me tonight.",neutral
228,data/MELD.Raw/train_audio/dia21_utt13.mp3,joy,Thanks.,positive
229,data/MELD.Raw/train_audio/dia22_utt0.mp3,disgust,Ew! What is that? Something exploded!,negative
230,data/MELD.Raw/train_audio/dia22_utt1.mp3,neutral,"It's just her water breaking. Calm down, will you?",neutral
231,data/MELD.Raw/train_audio/dia22_utt2.mp3,surprise,"Water breaking, what do you mean? What's that, water breaking?",negative
232,data/MELD.Raw/train_audio/dia22_utt3.mp3,neutral,"Breathe, breathe, breathe.",neutral
233,data/MELD.Raw/train_audio/dia23_utt0.mp3,surprise,"Are you insane? I mean Joey, is going to kill you, hes actually going to kill you dead.",negative
234,data/MELD.Raw/train_audio/dia23_utt1.mp3,anger,Okay! You dont think I thought of that?,negative
235,data/MELD.Raw/train_audio/dia23_utt2.mp3,surprise,How can you not know which one?,negative
236,data/MELD.Raw/train_audio/dia23_utt3.mp3,joy,I mean thats unbelievable.,positive
237,data/MELD.Raw/train_audio/dia23_utt4.mp3,neutral,"I mean, was it Gina?",neutral
238,data/MELD.Raw/train_audio/dia23_utt5.mp3,neutral,Which one is Gina?,neutral
239,data/MELD.Raw/train_audio/dia23_utt6.mp3,neutral,"Dark, big hair, with the airplane earrings.",neutral
240,data/MELD.Raw/train_audio/dia23_utt7.mp3,neutral,"No, no, no, thats Dina.",neutral
241,data/MELD.Raw/train_audio/dia23_utt8.mp3,surprise,"You see you cant tell which one is which either, dwha!!",negative
242,data/MELD.Raw/train_audio/dia24_utt0.mp3,neutral,"I dont know, you thought See you Saturday was funny.",neutral
243,data/MELD.Raw/train_audio/dia24_utt1.mp3,neutral,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",neutral
244,data/MELD.Raw/train_audio/dia24_utt2.mp3,neutral,You guys would never want to go to a lecture with me.,neutral
245,data/MELD.Raw/train_audio/dia24_utt3.mp3,joy,Pa-haa!! I would love to go with you.,positive
246,data/MELD.Raw/train_audio/dia24_utt4.mp3,surprise,Really!?,positive
247,data/MELD.Raw/train_audio/dia24_utt5.mp3,neutral,"Yeah, hey I-I have clothes, I even pick them out.",neutral
248,data/MELD.Raw/train_audio/dia24_utt6.mp3,neutral,"I mean for, for all you know I could be a fashion..... monger.",neutral
249,data/MELD.Raw/train_audio/dia24_utt7.mp3,joy,"Okay. Honey, I would love for you to go with me.  What?",positive
250,data/MELD.Raw/train_audio/dia24_utt8.mp3,fear,"What should I wear, now Im all nervous.",negative
251,data/MELD.Raw/train_audio/dia25_utt0.mp3,joy,": I know, we did it!! Hey, that was incredible, huh?!",positive
252,data/MELD.Raw/train_audio/dia25_utt1.mp3,joy,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",positive
253,data/MELD.Raw/train_audio/dia25_utt2.mp3,joy,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",positive
254,data/MELD.Raw/train_audio/dia25_utt3.mp3,joy,"Oh well, okay, good luck.",positive
255,data/MELD.Raw/train_audio/dia25_utt4.mp3,neutral,: Yeah.,neutral
256,data/MELD.Raw/train_audio/dia25_utt5.mp3,neutral,Unless you wanna practice the Foxtrot again? Or-or the Tango?,neutral
257,data/MELD.Raw/train_audio/dia25_utt6.mp3,neutral,": Ahh, thanks but no. You see I-I think Im ready to dance with girls.",neutral
258,data/MELD.Raw/train_audio/dia25_utt7.mp3,neutral,Okay.,neutral
259,data/MELD.Raw/train_audio/dia25_utt8.mp3,neutral,: Yeah.,neutral
260,data/MELD.Raw/train_audio/dia25_utt9.mp3,neutral,Go get em Treeger.,neutral
261,data/MELD.Raw/train_audio/dia25_utt10.mp3,neutral,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",neutral
262,data/MELD.Raw/train_audio/dia25_utt11.mp3,surprise,Really?,positive
263,data/MELD.Raw/train_audio/dia25_utt12.mp3,neutral,": Yeah, you could dance real good with her, shes the same size as me.",neutral
264,data/MELD.Raw/train_audio/dia25_utt13.mp3,neutral,"No, Im good.",neutral
265,data/MELD.Raw/train_audio/dia26_utt0.mp3,surprise,"Oh God, this is so nerve wracking! How-how do you do this?",negative
266,data/MELD.Raw/train_audio/dia26_utt1.mp3,neutral,"Well, unfortunately, I don't get many callbacks so",neutral
267,data/MELD.Raw/train_audio/dia26_utt2.mp3,surprise,Is it a good sign that they asked us to hang around after the audition?,positive
268,data/MELD.Raw/train_audio/dia26_utt3.mp3,neutral,Who knows?,neutral
